month,average_price
2015-01,4.838924142114099
2015-02,5.887046962728421
2015-03,7.189538764734984
2015-04,8.862149987597125
2015-05,10.048197557357547
2015-06,10.834517862523201
2015-07,11.536282466665222
2015-08,12.37989384451691
2015-09,13.595048247241033
2015-10,15.471162358099868
2015-11,16.260404513309123
2015-12,17.216256176582586
2016-01,16.575641554331643
2016-02,17.41668920663751
2016-03,18.024299893295648
2016-04,19.581972257732225
2016-05,19.547329767403493
2016-06,20.965008548150134
2016-07,21.189636591882817
2016-08,19.74826691046053
2016-09,19.43136642593173
2016-10,22.450172104177405
2016-11,28.00622859576159
2016-12,36.603245281958294
2017-01,42.42625389815715
2017-02,45.78894824767292
2017-03,58.739688724737285
2017-04,65.43439408650354
2017-05,69.71298674163259
2017-06,75.50755818539096
2017-07,78.80011066396263
2017-08,85.85785548545152
2017-09,85.32829389108676
2017-10,93.77292692390765
2017-11,96.6303638209393
2017-12,98.30590314995649
2018-01,104.31162885020134
2018-02,114.9317106429208
2018-03,132.16820540857805
2018-04,134.8388053661259
2018-05,149.3828002405196
2018-06,170.18603331714962
2018-07,170.0958390787566
2018-08,179.7592572714979
2018-09,199.11655277944777
2018-10,215.66605837698845
2018-11,233.92297254848964
2018-12,255.42514146836626
2019-01,224.32548591077833
2019-02,248.2397088194827
2019-03,260.83664383826516
2019-04,268.1541325431835
2019-05,258.64656882723807
2019-06,253.33206604964386
2019-07,293.1254883485805
2019-08,309.79428478852554
2019-09,315.4185989411056
2019-10,364.1860496527665
2019-11,383.8004327321044
2019-12,425.33998998227366
